city,tournament_name,venue,venue_pk,country_code,surface_type,surface_brand,category,turf_manufacturer,n_competition_courts
Riyadh,riyadh season p1,"Padel Rush Arena - QJC3+73R, HittinDistrict, Riyadh 13516",7,Saudi Arabia,Indoor,MejorSet,P1,Mondo,
Asuncion,asuncion p2,UENO SND ARENA,13,Paraguay,Indoor,MejorSet,P2,Mondo,
Mar De Plata,mar del plata p1,"POLIDEPORTIVO ISLAS MALVIDAS; Av. Juan B. Justo 3525, Peralta Ramos;  Oeste, B760",14,Argentina,Indoor,MejorSet,P1,Mondo,
Santiago,banco de chile santiago p1,"MOVISTAR ARENA; Tupper 1941, Santiago, Región; Metropolitana CHILE",15,Chile,Indoor,MejorSet,P1,Mondo,
Bordeaux,betclic bordeaux p2,ARKÉA ARENA,16,France,Indoor,MejorSet,P2,ITALGREEN,
Nokia,finland p2,"PADELONE ARENA Kivimiehenkatu 3, 33380 Nokia,  Finlande",20,Finland,Indoor,MEJOR SET,P2,Mondo,
Rotterdam,rotterdam p1,"AHOY Rotterdam, Ahoyweg 10, 3084 BA Rotterdam",22,Netherlands,Indoor,MejorSet,P1,Mondo,
Kuwait city,kuwait city p1,THE ARENA KUWAIT,27,Kuwait,Indoor,MejorSet,P1,Mondo,
Barcelona,finals,PALAU SANT JORDI,30,Spain,Indoor,MejorSet,Finals,Mondo,
Cancun,cancun p2,RAFA NADAL ACADEMY,33,Mexico,Outdoor,PADEL GALIS,P2,MONDO,
Miami,motorola razr miami p1,MIAMI BEACH CONVENTION  CENTER,34,USA,Indoor,MEJORSET,P1,MONDO,
Brussels,brussels p2,TOUR & TAXI  GARE MARITIME,37,Belgium,Indoor,MejorSet,P2,ACT SPORTS,
Buenos aires,buenos aires p1,PARQUE ROCA,39,Argentina,Indoor,MATCHPOINT COURTS,P1,SPORTLINK,
Rome,bnl italy major,PARCO SPORTIVO FORO ITALICO,40,Italy,Outdoor,MEJOR SET,Major,MONDO,
Tarragona,cupra costa daurada tarragona p1,PALACIO DE DEPORTES CATALUÑA,44,Spain,Indoor,MEJOR SET,P1,MONDO,
Giza,newgiza p2,NEWGIZA SPORTS CLUB,50,Egypt,Outdoor,GREENSET,P2,ITALGREEN,
