product_name,pk_equipement,brand,type_produit,player_name,price
Chaussures de padel Femme Bullpadel Flow 25I Bleu,1,Bullpadel,Chaussures,Alejandra Salazar,94.9
Chaussures de padel Homme Bullpadel Neuron Vibram 25I Blanc Edition France,2,Bullpadel,Chaussures,Federico Chingotto,99.9
Chaussures de padel Homme Bullpadel Neuron Vibram 25V Blanc,3,Bullpadel,Chaussures,Federico Chingotto,119.9
Chaussures de padel Homme Bullpadel Neuron Vibram 25V Noir,4,Bullpadel,Chaussures,Federico Chingotto,119.9
Chaussures de padel Homme Bullpadel Neuron Vibram 25I Noir,5,Bullpadel,Chaussures,Federico Chingotto,124.9
Chaussures de padel Homme Bullpadel Neuron Vibram 25I Blanc,6,Bullpadel,Chaussures,Federico Chingotto,124.9
Chaussures de padel Homme Bullpadel Neuron Vibram 25V Orange,7,Bullpadel,Chaussures,Federico Chingotto,119.9
Chaussures de padel Homme Bullpadel Neuron Vibram 25I Bleu,8,Bullpadel,Chaussures,Federico Chingotto,124.9
Chaussures de padel Homme Bullpadel Neuron 26V Blanc,9,Bullpadel,Chaussures,Federico Chingotto,139.9
Chaussures de padel Homme Bullpadel Neuron 26V Gris,10,Bullpadel,Chaussures,Federico Chingotto,139.9
Chaussures de padel Homme Bullpadel Neuron 26V Bleu,11,Bullpadel,Chaussures,Federico Chingotto,139.9
Chaussures de padel Homme Wilson Bela Tour Blanc,12,Wilson,Chaussures,Fernando Belasteguin,104.9
Chaussures de padel Wilson Bela Tour Noir,13,Wilson,Chaussures,Fernando Belasteguin,104.9
Chaussures de padel Femme Wilson Bela Pro Rouge,14,Wilson,Chaussures,Fernando Belasteguin,99.9
Chaussures de padel Femme Bullpadel Elite 25I Blanc,15,Bullpadel,Chaussures,Gemma Triay,109.9
Chaussures de padel Femme Bullpadel Elite 24I Bleu Marine,16,Bullpadel,Chaussures,Gemma Triay,94.9
Chaussures de Padel femme Bullpadel Elite 23I Vert/Rose,17,Bullpadel,Chaussures,Gemma Triay,125.9
Chaussures de padel Homme Babolat Jet Premura 2 Lebron Bleu/Blanc,18,Babolat,Chaussures,Juan Lebron,98.9
Chaussures de padel Homme Babolat Jet Premura 2 Lebron Bleu,19,Babolat,Chaussures,Juan Lebron,129.9
Chaussures de padel Homme Babolat Premura 3 Lebron Blanc/Orange,20,Babolat,Chaussures,Juan Lebron,169.9
Chaussures de padel Homme Bullpadel Vertex Vibram 25I Bleu Marine,21,Bullpadel,Chaussures,Juan Tello,134.9
Chaussures de padel Homme Bullpadel Vertex Vibram 25V Jaune,22,Bullpadel,Chaussures,Juan Tello,134.9
Chaussures de padel Homme Bullpadel Vertex Vibram 25I Vert,23,Bullpadel,Chaussures,Juan Tello,134.9
Chaussures de padel Homme Bullpadel Vertex Vibram 25I Rouge,24,Bullpadel,Chaussures,Juan Tello,134.9
Chaussures de padel Homme Bullpadel Vertex Vibram 26V Noir,25,Bullpadel,Chaussures,Juan Tello,169.9
Chaussures de padel Homme Bullpadel Vertex Vibram 26V Bleu,26,Bullpadel,Chaussures,Juan Tello,169.9
Chaussures de padel Homme Bullpadel Vertex Vibram 26V Orange,27,Bullpadel,Chaussures,Juan Tello,169.9
Chaussures de padel Homme Bullpadel XPLO Vibram 26V Orange,28,Bullpadel,Chaussures,Martin Di Nenno,174.9
Chaussures de padel Homme Bullpadel XPLO Vibram 26V Blanc,29,Bullpadel,Chaussures,Martin Di Nenno,174.9
Chaussures de padel Homme Bullpadel XPLO Vibram 26V Gris,30,Bullpadel,Chaussures,Martin Di Nenno,174.9
Chaussures de padel Homme Nox AT10 Pro Blanc,31,Nox,Chaussures,Agustin Tapia,117.0
Chaussures de padel Homme Nox AT10 Lux Noir/Rouge,32,Nox,Chaussures,Agustin Tapia,129.0
Chaussures de padel Homme Nox AT10 Limited Edition 2024,33,Nox,Chaussures,Agustin Tapia,129.0
Chaussures de padel Homme Nox AT10 Lux Gris/Bleu,34,Nox,Chaussures,Agustin Tapia,123.0
Chaussures de padel Femme Nox AT10 Lux Blanc/Gris,35,Nox,Chaussures,Agustin Tapia,129.0
Chaussures de padel Homme Nox AT10 Pro Noir/Gold,36,Nox,Chaussures,Agustin Tapia,110.0
Chaussures de padel Homme Nox AT10 Pro Noir/Rouge,37,Nox,Chaussures,Agustin Tapia,110.0
Chaussures de padel Femme Nox AT10 Pro Blanc,38,Nox,Chaussures,Agustin Tapia,117.0
Chaussures de padel Femme Nox AT10 Pro Blanc/Rose,39,Nox,Chaussures,Agustin Tapia,104.0
Chaussures de padel Homme Nox AT10 Pro Rouge,40,Nox,Chaussures,Agustin Tapia,98.0
Chaussures de padel Unisex Nox AT10 Lux Blanc,41,Nox,Chaussures,Agustin Tapia,178.0
Chaussures de padel Homme Nox AT10 Lux Marron,42,Nox,Chaussures,Agustin Tapia,178.0
Chaussures de padel Unisex Nox AT10 Lux Noir,43,Nox,Chaussures,Agustin Tapia,178.0
Chaussures de padel Unisex Nox AT10 Pro Blanc,44,Nox,Chaussures,Agustin Tapia,147.0
Chaussures de padel Homme Nox AT10 Lux Bleu Marine,45,Nox,Chaussures,Agustin Tapia,178.0
Chaussures de padel Femme Nox AT10 Lux Bleu,46,Nox,Chaussures,Agustin Tapia,178.0
Chaussures de padel Homme Nox AT10 Pro Beige,47,Nox,Chaussures,Agustin Tapia,147.0
Chaussures de padel Homme Nox AT10 Pro Noir,48,Nox,Chaussures,Agustin Tapia,147.0
Chaussures de padel Femme Nox AT10 Pro Violet,49,Nox,Chaussures,Agustin Tapia,147.0
Chaussures de padel Femme Nox AT10 Pro Beige,50,Nox,Chaussures,Agustin Tapia,147.0
Chaussures de padel Unisex Nox AT10 Pro Bleu,51,Nox,Chaussures,Agustin Tapia,147.0
Chaussures de padel Femme Nox AT10 Pro Orange,52,Nox,Chaussures,Agustin Tapia,147.0
Chaussures de padel Homme Nox ML10 Noir/Gris,53,Nox,Chaussures,Miguel Lamperti,99.9
Chaussures de padel Homme Nox ML10 Blanc,54,Nox,Chaussures,Miguel Lamperti,94.9
Chaussures de padel Homme Nox ML10 Hexa Bleu rouge,55,Nox,Chaussures,Miguel Lamperti,79.9
Chaussures de padel Unisex Nox ML10 Hexa Blanc,56,Nox,Chaussures,Miguel Lamperti,134.9
Chaussures de padel Homme Nox ML10 Hexa Bleu,57,Nox,Chaussures,Miguel Lamperti,134.9
Chaussures de padel Homme Nox ML10 Hexa Noir,58,Nox,Chaussures,Miguel Lamperti,134.9
T-shirt Nox Replica Agustin Tapia AT10 Bleu Marine 2025,59,Nox,T-shirt,Agustin Tapia,49.0
T-shirt Nox Replica Agustin Tapia AT10 Blanc 2025,60,Nox,T-shirt,Agustin Tapia,49.0
T-shirt Nox Replica Agustin Tapia AT10 Noir 2025,61,Nox,T-shirt,Agustin Tapia,49.0
T-shirt Nox Replica Agustin Tapia AT10 Gris 2025,62,Nox,T-shirt,Agustin Tapia,49.0
DÃ©bardeur Bullpadel Rizon Femme Rose,63,Bullpadel,DÃ©bardeur,Alejandra Salazar,39.9
DÃ©bardeur Bullpadel Rizon Blanc Femme,64,Bullpadel,DÃ©bardeur,Alejandra Salazar,39.9
T-shirt Bullpadel Replica Alejandra Salazar Yeco Bleu Femme,65,Bullpadel,T-shirt,Alejandra Salazar,29.9
DÃ©bardeur Bullpadel Junior Replica ALEJANDRA SALAZAR Erdine AS,66,Bullpadel,DÃ©bardeur,Alejandra Salazar,34.9
T-shirt Head Replica Coello Couronne 2025,67,Head,T-shirt,Arturo Coello,39.9
T-shirt Head Replica Coello Noir 2026,68,Head,T-shirt,Arturo Coello,44.9
T-shirt Bullpadel Prior Replica Frederico Chingotto,69,Bullpadel,T-shirt,Federico Chingotto,44.9
T-shirt Bullpadel Replica Chingotto 25V Orange,70,Bullpadel,T-shirt,Federico Chingotto,44.9
T-shirt Bullpadel Replica Chingotto 25I Gris,71,Bullpadel,T-shirt,Federico Chingotto,52.9
T-shirt Bullpadel Replica Chingotto 25I Vert,72,Bullpadel,T-shirt,Federico Chingotto,52.9
T-shirt Bullpadel Replica Chingotto 25I Vert Junior,73,Bullpadel,T-shirt,Federico Chingotto,34.9
T-shirt Wilson Seamless Crew 2.0,74,Wilson,T-shirt,Fernando Belasteguin,39.9
T-shirt Wilson Seamless Crew 2.0 Blanc,75,Wilson,T-shirt,Fernando Belasteguin,39.9
T-shirt Siux Replica Electra Stupa Noir 2025,76,Siux,T-shirt,Franco Stupaczuk,34.9
T-shirt Siux Replica Electra Stupa Officiel Blanc 2025,77,Siux,T-shirt,Franco Stupaczuk,45.9
T-shirt Siux Electra Stupa Bleu,78,Siux,T-shirt,Franco Stupaczuk,25.9
Short Siux Electra Stupa Bleu Marine,79,Siux,Short,Franco Stupaczuk,34.9
T-shirt Siux Electra Stupa Noir,80,Siux,T-shirt,Franco Stupaczuk,34.9
Veste Siux Electra Stupa Bleu,81,Siux,Veste,Franco Stupaczuk,54.9
Pull Siux Replica Electra Stupa,82,Siux,T-shirt,Franco Stupaczuk,59.9
T-Shirt Siux Replica Electra X Stupa Blanc,83,Siux,T-shirt,Franco Stupaczuk,59.9
Jupe Bullpadel Atria Beige Femme,84,Bullpadel,Jupe,Gemma Triay,47.9
DÃ©bardeur Bullpadel Aza Beige Femme,85,Bullpadel,DÃ©bardeur,Gemma Triay,41.9
Jupe Bullpadel Atria Rouge Femme,86,Bullpadel,Jupe,Gemma Triay,47.9
DÃ©bardeur Bullpadel Aza Rouge Femme,87,Bullpadel,DÃ©bardeur,Gemma Triay,41.9
DÃ©bardeur Bullpadel Edrar Replica Triay Rose Femme,88,Bullpadel,DÃ©bardeur,Gemma Triay,42.9
DÃ©bardeur Bullpadel Replica Gemma 25I Femme,89,Bullpadel,DÃ©bardeur,Gemma Triay,45.9
T-shirt Bullpadel Replica Gemma TRIAY Yeco saumon Femme,90,Bullpadel,T-shirt,Gemma Triay,41.9
T-shirt Babolat Cotton Tee Lebron Bleu Marine,91,Babolat,T-shirt,Juan Lebron,22.9
T-shirt Babolat Replica Crew Neck Tee Lebron Rose,92,Babolat,T-shirt,Juan Lebron,29.9
Short Babolat Lebron Bleu Marine,93,Babolat,Short,Juan Lebron,29.9
Short Babolat Lebron Blanc/Rose,94,Babolat,Short,Juan Lebron,29.9
T-shirt Babolat Crew Neck Tee Lebron Blanc,95,Babolat,T-shirt,Juan Lebron,29.9
T-shirt Babolat Replica Crew Neck Tee Lebron Blanc/Gris,96,Babolat,T-shirt,Juan Lebron,27.9
T-shirt Babolat Cotton Tee Lebron Rouge,97,Babolat,T-shirt,Juan Lebron,19.9
T-shirt Babolat Cotton Tee Lebron Bleu,98,Babolat,T-shirt,Juan Lebron,22.9
T-shirt Babolat Crew Neck Tee Lebron Gris,99,Babolat,T-shirt,Juan Lebron,29.9
T-shirt Babolat Crew Neck Tee Lebron Bleu,100,Babolat,T-shirt,Juan Lebron,29.9
Chaussettes Babolat Mid-Calf Lebron Blanc,101,Babolat,Chaussettes,Juan Lebron,19.9
T-shirt Babolat Cotton Tee Lebron Blanc/Rose,102,Babolat,T-shirt,Juan Lebron,21.9
T-shirt Babolat Crew Neck Tee Lebron Rouge,103,Babolat,T-shirt,Juan Lebron,29.9
T-shirt Babolat Crew Neck Tee Juan Lebron Vert,104,Babolat,T-shirt,Juan Lebron,29.9
Chaussettes Babolat Mid-Calf Socks Juan Lebron Bleu Marine,105,Babolat,Chaussettes,Juan Lebron,16.9
Chaussettes Babolat Mid-Calf Socks Juan Lebron Blanc/Bleu,106,Babolat,Chaussettes,Juan Lebron,16.9
Sweat Babolat Hood Lebron Rouge,107,Babolat,Sweat,Juan Lebron,37.9
Veste Babolat Jacket Lebron Gris Clair,108,Babolat,Veste,Juan Lebron,59.9
Sweat Babolat Hood Lebron Gris Clair,109,Babolat,Sweat,Juan Lebron,59.9
Veste Babolat Jacket Lebron Gris,110,Babolat,Veste,Juan Lebron,52.9
Short Babolat Lebron Noir,111,Babolat,Short,Juan Lebron,49.9
T-shirt Babolat Cotton Tee Lebron Blanc,112,Babolat,T-shirt,Juan Lebron,29.9
T-shirt Babolat Cotton Tee Lebron Bleu/Orange,113,Babolat,T-shirt,Juan Lebron,29.9
Chaussettes Babolat Mid-Calf Socks Juan Lebron Blanc/Orange,114,Babolat,Chaussettes,Juan Lebron,19.9
T-shirt Bullpadel Replica Tello 25V Kaki,115,Bullpadel,T-shirt,Juan Tello,44.9
T-shirt Bullpadel Replica Tello 25I Bleu,116,Bullpadel,T-shirt,Juan Tello,52.9
T-shirt Bullpadel Acilio Replica Di Nenno Jaune,117,Bullpadel,T-shirt,Martin Di Nenno,32.9
T-shirt Bullpadel Meira Replica Di Nenno Jaune,118,Bullpadel,T-shirt,Martin Di Nenno,37.9
T-shirt Bullpadel Prior Replica Martin Di Nenno,119,Bullpadel,T-shirt,Martin Di Nenno,44.9
T-shirt Bullpadel Replica Di Nenno 25V Noir,120,Bullpadel,T-shirt,Martin Di Nenno,44.9
T-shirt Bullpadel Replica Di Nenno 25I Noir,121,Bullpadel,T-shirt,Martin Di Nenno,45.9
T-shirt Bullpadel Replica Di Nenno 25V Blanc,122,Bullpadel,T-shirt,Martin Di Nenno,44.9
T-shirt Bullpadel Replica Di Nenno 25I Rouge,123,Bullpadel,T-shirt,Martin Di Nenno,45.9
T-shirt Bullpadel Replica Di Nenno 25I Rouge Junior,124,Bullpadel,T-shirt,Martin Di Nenno,41.9
Raquette de padel Nox AT10 Genius 18K by Agustin Tapia 2025,125,Nox,racket,Agustin Tapia,257.00
Raquette de padel Adidas Metalbone 3.4 2025,126,Adidas,racket,Alejandro Galan,282.00
Raquette de padel Adidas Metalbone HRD+ 3.4 2025,127,Adidas,racket,Alejandro Galan,282.00
Raquette de padel Wilson Bela Pro V2.5,128,Wilson,racket,Fernando Belasteguin,208.00
Raquette de padel Head Coello Pro 2025,129,Head,racket,Arturo Coello,294.00
Raquette de padel Head Extreme Pro LTD Arturo Coello,130,Head,racket,Arturo Coello,172.00
Raquette de padel Head Coello Motion 2025,131,Head,racket,Arturo Coello,294.00
Raquette de padel Nox AT10 Genius 12K Alum Xtreme by AgustÃ­n Tapia 2026,132,Nox,racket,Agustin Tapia,477.00
Raquette de padel Adidas Metalbone 3.4 Pro EDT Series 2025,133,Adidas,racket,Alejandro Galan,465.00
Raquette de padel Adidas Adipower Multiweight Control 3.4 2025,134,Adidas,racket,Alejandro Galan,330.00
Raquette de padel Wilson Bela Pro V3 2025,135,Wilson,racket,Fernando Belasteguin,282.00
Raquette de padel Wilson Bela V3 2025,136,Wilson,racket,Fernando Belasteguin,257.00
Raquette de padel Nox AT10 18K Argentine 2025,137,Nox,racket,Agustin Tapia,404.00
Raquette de padel Adidas Metalbone 3.5 2026,138,Adidas,racket,Alejandro Galan,416.00
Raquette de padel Nox AT10 Genius 18K Alum 2026,139,Nox,racket,Agustin Tapia,477.00
Raquette de padel Head Coello Team 2025,140,Head,racket,Arturo Coello,216.00
Pack Bullpadel Vertex 04 Comfort Homme 2025,141,Bullpadel,racket,Juan Lebron,239.00
