tournament,start_date,end_date,yt_videos,yt_total_views,yt_total_likes,yt_total_comments,yt_top_video_views,yt_top_video_date,wiki_tournament_views,wiki_month,venue
NEWGIZA P2,2025-11-01,2025-11-09,20,2978354,13086,105,344186,2025-11-28,0,11,NEWGIZA SPORTS CLUB
OYSHO MILANO P1,2025-10-18,2025-10-26,20,2782277,12371,64,328084,2025-11-15,0,10,ALLIANZ CLOUD MILANO
ROTTERDAM P1,2025-10-04,2025-10-12,20,2621729,8623,83,394281,2025-10-09,0,10,
RIYADH SEASON P1,2025-02-08,2025-02-17,20,3052274,17353,340,370501,2025-02-08,0,02,"PADEL RUSH ARENA, RIYADH"
MADRID P1,2025-08-09,2025-08-17,20,2723241,9192,71,455033,2025-09-04,0,08,MOVISTAR ARENA-MADRID
ASUNCION P2,2025-05-10,2025-05-18,19,2532293,7871,91,379740,2025-05-23,0,05,ESTADIO UENO SND ARENA
CUPRA COSTA DAURADA TARRAGONA P1,2025-07-28,2025-08-03,20,2290028,6434,52,373922,2025-07-31,0,07,PALACIO DE DEPORTES CATALUÑA
BUENOS AIRES P1,2025-05-24,2025-06-01,18,1977836,5871,38,323534,2025-05-29,0,05,PARQUE ROCA
NEWGIZA P2,2024-09-14,2024-09-22,2,100059,1039,1,84387,2024-10-21,0,11,NEWGIZA SPORTS CLUB
CANCUN P2,2025-03-09,2025-03-16,20,1102805,3895,74,350970,2025-03-20,0,03,RAFA NADAL ACADEMY
GIJÓN P2,2025-02-24,2025-03-02,20,1193867,13124,74,224285,2025-02-27,0,02,
ROTTERDAM P1,2024-08-17,2024-08-25,0,0,0,0,0,,0,10,
MADRID P1,2023-07-15,2023-07-23,0,0,0,0,0,,0,08,MOVISTAR ARENA-MADRID
MALAGA P1,2025-07-19,2025-07-27,0,0,0,0,0,,0,07,PALACIO DE DEPORTES JOSE Mª  MARTIN CARPENA - MÁLAGA
MALAGA P1,2024-07-13,2024-07-21,0,0,0,0,0,,0,07,PALACIO DE DEPORTES JOSE Mª  MARTIN CARPENA - MÁLAGA
BORDEAUX P2,2025-07-05,2025-07-13,0,0,0,0,0,,0,07,PATINOIRE DE BORDEAUX MÉRIADECK
BRUSSELS P2,2025-04-26,2025-05-04,1,22770,80,1,22770,2025-04-26,0,04,TOUR & TAXI  GARE MARITIME
ASUNCION P2,2024-05-18,2024-05-26,0,0,0,0,0,,0,05,ESTADIO UENO SND ARENA
SANTIAGO P1,2025-04-05,2025-04-13,0,0,0,0,0,,0,04,COMPLEJO DEPORTIVO SAN CARLOS DE APOQUINDO
RIYADH SEASON P1,2024-02-24,2024-03-02,0,0,0,0,0,,0,02,"PADEL RUSH ARENA, RIYADH"
GNP ACAPULCO P1,2024-03-23,2024-03-31,0,0,0,0,0,,0,03,
